index	question	sentence	label
517	who it tony fadell to google?	tony fadell	not_entailment
518	who delivered the morning forecast?	chancetherapper	not_entailment
519	who delivered the morning forecast?	chance the rapper	entailment
520	what is mentioned about not being left for the children?	the # World Cup uses up all the goals	entailment
521	what is mentioned about not being left for the children?	# children are the future	not_entailment
522	what problem do some people believe capitalism will solve?	poverty	entailment
523	what problem do some people believe capitalism will solve?	i think he is the one who is praying	not_entailment
524	who was is that was being quoted?	Eto'o	entailment
525	who was is that was being quoted?	eto ' o	not_entailment
526	why did he walk 21 miles?	work commute	entailment
527	why did he walk 21 miles?	commute	not_entailment
528	what do they ask you about @appmeerkat?	Who do you want to see	entailment
529	what do they ask you about @appmeerkat?	@ benrbn	not_entailment
530	how does the tweeter describe the value of the recent buy-back?	a worthless	entailment
531	how does the tweeter describe the value of the recent buy-back?	@ @ @ababroye	not_entailment
532	what are they acting like?	5 year olds	entailment
533	what are they acting like?	@ stlcountypd and @ kdemoff	not_entailment
534	where is water flowing in aleppo?	the western part of the city	entailment
535	where is water flowing in aleppo?	aleppo	not_entailment
536	who is the person sending their love?	Julia	not_entailment
537	who is the person sending their love?	rosie	entailment
538	which high school will be closed tomorrow?	Bayside High	entailment
539	which high school will be closed tomorrow?	screech	not_entailment
540	how harryfairies feeling about greysanatomy?	they were extraordinary together # Greys Anatomy	entailment
541	how harryfairies feeling about greysanatomy?	greysanatomy	not_entailment
542	what does mayim bialik think about about pretty girls?	are sexually assaulted	entailment
543	what does mayim bialik think about about pretty girls?	schadenfruede	not_entailment
544	what did senator rand paul resolve to do?	spend less time voting in the Senate	entailment
545	what did senator rand paul resolve to do?	jk	not_entailment
546	where is the storm?	Iowa	entailment
547	where is the storm?	hlntv	not_entailment
548	what is coachella supposed to be?	Dad	not_entailment
549	what is coachella supposed to be?	coachella is a coachella is a coach	entailment
550	what is he on board with?	Joseph Fiennes playing Michael Jackson	entailment
551	what is he on board with?	joseph fiennes	not_entailment
552	tweet is not visible	to	not_entailment
553	tweet is not visible	asda is selling wearable england flags	entailment
554	what did shane west say the film is gonna be?	tight	entailment
555	what did shane west say the film is gonna be?		not_entailment
556	how many years ago did we lose the greatest rapper of all time?	20	not_entailment
557	how many years ago did we lose the greatest rapper of all time?	20 years	entailment
558	what can you get delivered to your inbox?	the best # Hillary 2016 moments	entailment
559	what can you get delivered to your inbox?	beyonce	not_entailment
560	what did eric's dad do for a living?	a drug dealer	entailment
561	what did eric's dad do for a living?	eric	not_entailment
562	why are vince wilfork and charles james ii not happy with some fans?	left early on Sunday	entailment
563	why are vince wilfork and charles james ii not happy with some fans?		not_entailment
564	how do you know south africa is dangerous	watch the evening news	entailment
565	how do you know south africa is dangerous	i know	not_entailment
566	what is being chowed down on?	Christmas feast	entailment
567	what is being chowed down on?	eatocracy	not_entailment
568	who should never be judged?	women	not_entailment
569	who should never be judged?	women for breastfeeding	entailment
570	what happened during this natural disaster?	hurricanehermine	not_entailment
571	what happened during this natural disaster?	hurricane hermine	entailment
572	what does margo price want for christmas?	net neutrality	entailment
573	what does margo price want for christmas?	all i want for christmas is net neutrality	not_entailment
574	why would anyone call miss cleo?	smart enuff to not dial it on my phone n get in trouble	entailment
575	why would anyone call miss cleo?	i ' m not smart	not_entailment
576	who can spread the fever?	You need to be symptomatic	entailment
577	who can spread the fever?	symptomatic	not_entailment
578	what crime was committed by eric garner?	selling cigs	entailment
579	what crime was committed by eric garner?	death is inexcusable	not_entailment
580	when did the earthquake in nepal happen?	morning	entailment
581	when did the earthquake in nepal happen?	the earthquake in nepal	not_entailment
582	where does kristen bell recommend putting this item?	their stocking :  frontlinepbs	entailment
583	where does kristen bell recommend putting this item?	stocking	not_entailment
584	who was finishing a speach?	Doug Jones	entailment
585	who was finishing a speach?	chris rosenthall	not_entailment
586	what is derrick ross doing?	being cautious	entailment
587	what is derrick ross doing?	it ' s largely psychological	not_entailment
588	what is ll cool j known for?	OF THE PIONEERS	not_entailment
589	what is ll cool j known for?	hip hop artist	entailment
590	what did victor alvarez do wrong?	The story I wrote	entailment
591	what did victor alvarez do wrong?	tasteless	not_entailment
592	who did jesse talk about?	white people	entailment
593	who did jesse talk about?	@ jtimberlake	not_entailment
594	where were the arrests made?	Baltimore	entailment
595	where were the arrests made?	baltimore police	not_entailment
596	what did ben affleck do to rectify his behavior with ms. burton?	apologize	entailment
597	what did ben affleck do to rectify his behavior with ms. burton?	inappropriately	not_entailment
598	what airline did kristen have a problem with?	United	not_entailment
599	what airline did kristen have a problem with?	united airlines	entailment
600	what does black lives matter address?	Racial bias	entailment
601	what does black lives matter address?	# ucsf / blacklives	not_entailment
602	what can't he get his iphone to repeat?	Trump's bizarre typo	entailment
603	what can't he get his iphone to repeat?	trump ' s bizarre typo	not_entailment
604	what did iran close down?	the Internet	entailment
605	what did iran close down?		not_entailment
606	who asked about plastic surgery?	megynkelly	not_entailment
607	who asked about plastic surgery?	megyn kelly didn ' t ask	entailment
608	what happened to windell middlebrooks?	Raising a glass to our favorite delivery guy  RIP	not_entailment
609	what happened to windell middlebrooks?	he died	entailment
610	who does beck want to fire?	Katehi	not_entailment
611	who does beck want to fire?	linda katehi	entailment
612	what type of interactions are being discussed?	police interactions	entailment
613	what type of interactions are being discussed?	# crimingheww hashtag	not_entailment
614	why is chris moody tweeting #cpac2015?	COVERING THE WRONG STORY	entailment
615	why is chris moody tweeting #cpac2015?	attention	not_entailment
616	what is @bobnewharts new career?	head ref for # OSUvs ORE	entailment
617	what is @bobnewharts new career?		not_entailment
618	what did sia anticipate?	pedophelia	not_entailment
619	what did sia anticipate?	i anticipated pedophelia	entailment
620	donald trump has a vision for what country?	America	entailment
621	donald trump has a vision for what country?	donald trump	not_entailment
622	who understands the agenda of the "fake news" organizations?	the people	entailment
623	who understands the agenda of the "fake news" organizations?	the people get what ' s going on	not_entailment
624	what was done to leslie jones on the internet?	Hacking and harassment of	not_entailment
